,Simplified,Pinyin,Vietnamese
,六,liù,sáu
,呀,ya,Ah
,情况,qíngkuàng,Tình trạng
,还是,háishì,vẫn
,钱,qián,tiền bạc
,方法,fāngfǎ,phương pháp
,点,diǎn,điểm
,任何,rènhé,bất kì
,经验,jīngyàn,kinh nghiệm
,艺术,yìshù,Nghệ thuật
,你们,nǐmen,Bạn
,十,shí,mười
,主要,zhǔyào,chủ yếu
,妈妈,māmā,Mẹ
,增加,zēngjiā,Tăng
,提出,tíchū,cầu hôn
,为什么,wèishéme,Tại sao
,以,yǐ,qua
,您,nín,Bạn
,计画,jìhuà,kế hoạch
,作,zuò,LÀM
,利用,lìyòng,sử dụng
,东西,dōngxī,điều
,在,zài,hiện hữu
,条,tiáo,dải
,设计,shèjì,thiết kế
,找,zhǎo,cố gắng tìm
,之间,zhījiān,giữa
,成长,chéngzhǎng,lớn lên
,能够,nénggòu,đã có thể
,决定,juédìng,Quyết định
,学习,xuéxí,học
,谁,shéi,Ai
,见,jiàn,Nhìn thấy
,半,bàn,Một nửa
,时代,shídài,kỷ nguyên
,完成,wánchéng,Hoàn thành
,带,dài,mang đến 
,相当,xiāngdāng,khá
,同学,tóngxué,bạn cùng lớp
,件,jiàn,miếng
,能力,nénglì,khả năng
,别人,biérén,Những người khác
,生命,shēngmìng,mạng sống
,下,xià,Xuống
,来,lái,Đến
,场,cháng,cánh đồng
,会议,huìyì,Cuộc họp
,容易,róngyì,dễ
,开发,kāifā,phát triển
,民众,mínzhòng,mọi người
,事情,shìqíng,vấn đề
,书,shū,Sách
,事实,shìshí,sự thật
,有关,yǒuguān,có liên quan
,自,zì,từ
,组织,zǔzhī,tổ chức
,言,yán,Từ
,多,duō,nhiều
,爱,ài,giống
,建立,jiànlì,Thành lập
,相关,xiāngguān,Có liên quan
,均,jūn,tất cả
,产生,chǎnshēng,sản xuất
,多,duō,nhiều
,业者,yèzhě,ngành công nghiệp
,解决,jiějué,gỡ rối
,完全,wánquán,hoàn toàn
,的话,dehuà,nếu như
,接受,jiēshòu,chấp nhận
,知,zhī,Biết
,约,yuē,Về
,一般,yībān,nói chung là
,推动,tuīdòng,khuyến khích
,过程,guòchéng,quá trình
,管理,guǎnlǐ,quản lý
,功能,gōngnéng,Chức năng
,手,shǒu,tay
,打,dǎ,tiết tấu
,水,shuǐ,Nước
,要求,yāoqiú,Yêu cầu
,小朋友,xiǎopéngyǒu,đứa trẻ
,教授,jiàoshòu,giáo sư
,难,nán,Thảm họa
,我国,wǒguó,đất nước của chúng tôi
,告诉,gàosù,Kể
,内容,nèiróng,nội dung
,结果,jiéguǒ,kết quả
,调查,diàochá,cuộc điều tra
,家庭,jiātíng,gia đình
,成立,chénglì,thành lập
,选择,xuǎnzé,chọn
,经营,jīngyíng,việc kinh doanh
,然而,ránér,Tuy nhiên
,父母,fùmǔ,cha mẹ
,写,xiě,Viết
,人类,rénlèi,nhân loại
,至于,zhìyū,Đối với
,买,mǎi,mua
,尤其,yóuqí,đặc biệt
,配合,pèihé,hợp tác
,进入,jìnrù,Đi vào
,例如,lìrú,Ví dụ
,得,děi,phải
,讨论,tǎolùn,bàn luận
,依,yī,dựa theo
,作品,zuòpǐn,công việc
,情形,qíngxíng,tình huống
,资源,zīyuán,nguồn
,原因,yuányīn,lý do
,啦,lā,La
,妳,nǐ,Bạn
,运动,yùndòng,các môn thể thao
,观念,guānniàn,ý tưởng
,给,gěi,Đưa cho
,软体,ruǎntǐ,phần mềm
,品质,pǐnzhí,chất lượng
,经过,jīngguò,đi xuyên qua
,如此,rúcǐ,theo cách này
,嗯,ēn,Ừm
,精神,jīngshén,Tinh thần
,影响,yǐngxiǎng,Ảnh hưởng
,之,zhī,Của
,过,guò,Vượt qua
,好像,hǎoxiàng,giống
,成,chéng,trở nên
,参与,cānyū,tham gia
,以后,yǐhòu,sau đó
,于是,yūshì,sau đó
,部分,bùfèn,phần
,另外,lìngwài,Ngoài ra
,公园,gōngyuán,vườn
,透过,tòuguò,bởi vì
,训练,xùnliàn,xe lửa
,努力,nǔlì,cố gắng
,研究,yánjiù,Nghiên cứu
,具有,jùyǒu,có
,共同,gòngtóng,chung
,所谓,suǒwèi,cái gọi là
,下,xià,Xuống
,行为,xíngwéi,Hành vi
,合作,hézuò,hợp tác
,经,jīng,bởi vì
,合作,hézuò,hợp tác
,目标,mùbiāo,Mục tiêu
,起来,qǐlái,đứng lên
,考虑,kǎolù,coi như
,长,cháng,dài
,意见,yìjiàn,Ý kiến
,办法,bànfǎ,Phương pháp
,音乐,yīnyuè,âm nhạc
,连,lián,thậm chí
,受,shòu,qua
,厂商,chǎngshāng,nhà chế tạo
,只,zhī,Chỉ một
,受到,shòudào,nhận được
,一切,yīqiè,mọi thứ
,或是,huòshì,Hoặc
,中央,zhōngyāng,trung tâm
,某,mǒu,chắc chắn
,女性,nǔxìng,nữ giới
,教学,jiāoxué,giảng bài
,极,jí,cây sào
,获得,huòdé,lấy
,真的,zhēnde,thực tế
,路,lù,đường
,来,lái,Đến
,快,kuài,nhanh
,国小,guóxiǎo,Trường tiểu học
,部份,bùfèn,phần
,工程,gōngchéng,dự án
,女人,nǔrén,đàn bà
,举行,jǔxíng,giữ
,句,jù,câu
,只是,zhǐshì,chỉ một
,段,duàn,phần
,根据,gēnjù,dựa theo
,现象,xiànxiàng,Hiện tượng
,人民,rénmín,mọi người
,土地,tǔdì,đất
,面对,miànduì,khuôn mặt
,注意,zhùyì,Để ý
,这里,zhèlǐ,đây
,新闻,xīnwén,Tin tức
,继续,jìxù,Tiếp tục
,相信,xiāngxìn,tin tưởng
,政策,zhèngcè,chính sách
,变成,biànchéng,trở nên
,计划,jìhuà,kế hoạch
,强调,qiángdiào,nhấn mạnh
,学,xué,học
,人士,rénshì,người
,前,qián,phía trước
,前,qián,phía trước
,存在,cúnzài,hiện hữu
,制度,zhìdù,hệ thống
,意义,yìyì,ý nghĩa
,代表,dàibiǎo,đại diện
,课程,kèchéng,khóa học
,该,gāi,Nên
,没,méi,không có
,至,zhì,ĐẾN
,需求,xūqiú,nhu cầu
,人生,rénshēng,Mạng sống
,那些,nǎxiē,Những cái đó
,成功,chénggōng,thành công
,爸爸,bàbà,bố
,产业,chǎnyè,ngành công nghiệp
,负责,fùzé,Chịu trách nhiệm
,民间,mínjiān,dân gian
,虽,suī,mặc dù
,影响,yǐngxiǎng,Ảnh hưởng
,直接,zhíjiē,trực tiếp
,几乎,jīhū,hầu hết
,分,fèn,điểm
,实际,shíjì,thật sự
,团体,tuántǐ,nhóm
,价值,jiàzhí,giá trị
,使得,shǐdé,làm
,类,lèi,loại
,形成,xíngchéng,hình thức
,科技,kējì,khoa học và Công nghệ
,这么,zhème,Vì thế
,当,dāng,khi
,七,qī,bảy
,不但,búdàn,Không chỉ
,往,wǎng,Quá khứ
,本身,běnshēn,chính nó
,标准,biāozhǔn,tiêu chuẩn
,似乎,sìhū,có vẻ
,应用,yìngyòng,ứng dụng
,或者,huòzhě,hoặc
,动物,dòngwù,động vật
,电话,diànhuà,Điện thoại
,态度,tàidù,thái độ
,建设,jiànshè,sự thi công
,事业,shìyè,gây ra
,老,lǎo,cũ
,那么,nàmo,Vì thế
,常常,chángcháng,Thường xuyên
,字,zì,Tính cách
,坐,zuò,ngồi
,举办,jǔbàn,giữ
,自我,zìwǒ,bản thân
,有的,yǒude,một số
,具,jù,Dụng cụ
,目的,mùdì,Mục đích
,块,kuài,cái
,条件,tiáojiàn,tình trạng
,即使,jíshǐ,mặc dù
,好,hǎo,Tốt
,十分,shífēn,rất
,多少,duōshǎo,Bao nhiêu
,放,fàng,đặt
,又,yòu,lại
,电影,diànyǐng,Bộ phim
,科学,kēxué,khoa học
,执行,zhíxíng,thực hiện
,边,biān,bên
,委员会,wěiyuánhuì,ủy ban
,沟通,gōutōng,giao tiếp
,开,kāi,mở
,一起,yīqǐ,Cùng nhau
,张,zhāng,mở
,针对,zhēnduì,chống lại
,员工,yuángōng,nhân viên
,引起,yǐnqǐ,gây ra
,自然,zìrán,thiên nhiên
,那么,nàmo,Vì thế
,安全,ānquán,Sự an toàn
,总统,zǒngtǒng,chủ tịch
,此外,cǐwài,Mà còn
,拥有,yǒngyǒu,có
,并且,bìngqiě,Và
,事件,shìjiàn,sự kiện
,设计,shèjì,thiết kế
,研究所,yánjiùsuǒ,trường sau đại học
,语言,yǔyán,ngôn ngữ
,严重,yánzhòng,nghiêm trọng
,故事,gùshì,câu chuyện
,学术,xuéshù,học thuật
,片,piàn,cái
,设备,shèbèi,thiết bị
,之外,zhīwài,ngoài
,车,chē,xe hơi
,基本,jīběn,nền tảng
,实在,shízài,Thực ra
,久,jiǔ,Dài
,套,tào,bộ
,达到,dádào,đạt được
,改善,gǎishàn,cải thiện 
,死,sǐ,chết
,结构,jiégòu,kết cấu
,住,zhù,sống
,皆,jiē,tất cả
,改变,gǎibiàn,Thay đổi
,拿,ná,lấy
,小组,xiǎozǔ,nhóm
,支持,zhīchí,ủng hộ
,座,zuò,ghế
,医院,yīyuàn,Bệnh viện
,既,jì,bây giờ thì
,仅,jǐn,chỉ một
,值得,zhíde,đáng giá
,学者,xuézhě,học giả
,八,bā,tám
,交通,jiāotōng,vận tải
,阶段,jiēduàn,sân khấu
,就是,jiùshì,đó là
,申请,shēnqǐng,Áp dụng
,主管,zhǔguǎn,giám đốc
,申请,shēnqǐng,Áp dụng
,同,tóng,như nhau
,感觉,gǎnjué,Cảm thấy
,电视,diànshì,tivi
,母亲,mǔqīn,Mẹ
,嘛,má,Tốt
,香港,xiānggǎng,Hồng Kông
,记者,jìzhě,phóng viên
,压力,yālì,áp lực 
,快乐,kuàilè,hạnh phúc
,喝,hē,uống
,敢,gǎn,dám
,院,yuàn,bệnh viện
,也许,yěxǔ,Có lẽ
,人们,rénmen,mọi người
,谈,tán,nói chuyện
,生产,shēngchǎn,Sản xuất
,怕,pà,Sợ
,就,jiù,Một lần
,身体,shēntǐ,Thân hình
,规定,guīdìng,Quy định
,程度,chéngdù,bằng cấp
,积极,jījí,tích cực
,知识,zhīshì,Kiến thức
,作为,zuòwéi,BẰNG
,机构,jīgòu,cơ chế
,而是,érshì,Hơn là
,鼓励,gǔlì,khuyến khích
,角色,jiǎosè,Vai trò
,状况,zhuàngkuàng,tình huống
,专家,zhuānjiā,chuyên gia
,据,jù,dựa theo
,清楚,qīngchǔ,thông thoáng
,不仅,bùjǐn,không chỉ
,比赛,bǐsài,Cuộc thi
,玩,wán,Chơi
,效果,xiàoguǒ,Tác dụng
,越,yuè,đi qua
,保护,bǎohù,Bảo vệ
,共,gòng,chung
,开放,kāifàng,mở
,附近,fùjìn,gần đó
,上,shàng,thượng đẳng
,父亲,fùqīn,Bố
,专业,zhuānyè,lớn lao
,经费,jīngfèi,Kinh phí
,曾经,céngjīng,một lần
,工作,gōngzuò,Công việc
,愿意,yuànyì,sẵn sàng
,分别,fēnbié,tương ứng
,重视,zhòngshì,Chú ý đến
,不少,bùshǎo,Khá nhiều
,欢迎,huānyíng,Chào mừng
,小孩,xiǎohái,Đứa trẻ
,小时,xiǎoshí,Giờ
,中国人,zhōngguórén,người Trung Quốc
,显示,xiǎnshì,trình diễn
,中共,zhōnggòng,Đảng Cộng sản Trung Hoa
,出,chū,ngoài
,男人,nánrén,người đàn ông
,避免,bìmiǎn,tránh xa
,属于,shǔyū,thuộc về
,实施,shíshī,thực hiện
,声音,shēngyīn,âm thanh
,主义,zhǔyì,học thuyết
,行动,xíngdòng,hoạt động
,不可,bùkě,KHÔNG
,只有,zhǐyǒu,chỉ một
,校园,xiàoyuán,khuôn viên đại học
,兴趣,xìngqù,quan tâm
,山,shān,Núi
,表现,biǎoxiàn,Hiệu suất
,得,dé,phải
,回来,huílái,trở lại
,主任,zhǔrèn,giám đốc
,里面,lǐmiàn,TRONG
,经常,jīngcháng,thường
,不再,búzài,không còn nữa
,电子,diànzǐ,điện tử
,受,shòu,qua
,思想,sīxiǎng,Nghĩ
,头,tóu,cái đầu
,终于,zhōngyū,Cuối cùng
,谢谢,xièxiè,Cảm ơn
,协助,xiézhù,hỗ trợ
,除,chú,di dời
,当地,dāngdì,địa phương
,正式,zhèngshì,chính thức
,真正,zhēnzhèng,thực tế
,低,dī,Thấp
,性,xìng,tình dục
,份,fèn,chia sẻ
,因素,yīnsù,nhân tố
,推出,tuīchū,tung ra
,上,shàng,thượng đẳng
,价格,jiàgé,giá 
,去,qù,đi
,认识,rènshì,biết
,方向,fāngxiàng,phương hướng
,责任,zérèn,trách nhiệm
,说明,shuōmíng,Minh họa
,工业,gōngyè,ngành công nghiệp
,大量,dàliàng,Nhiều
,做,zuò,LÀM
,逐渐,zhújiàn,dần dần
,心理,xīnlǐ,tâm lý
,一点,yīdiǎn,một chút
,供,gōng,vì
,须,xū,Phải
,简单,jiǎndān,Đơn giản
,运用,yùnyòng,sử dụng
,观察,guānchá,quan sát
,往往,wǎngwǎng,thường
,规划,guīhuà,lập kế hoạch
,减少,jiǎnshǎo,giảm bớt
,重新,chóngxīn,lại
,业务,yèwù,việc kinh doanh
,报导,bàodǎo,báo cáo
,仍然,réngrán,vẫn
,感到,gǎndào,cảm thấy
,开放,kāifàng,mở
,领域,lǐngyū,cánh đồng
,有效,yǒuxiào,có hiệu quả
,女,nǔ,nữ giới
,要,yào,muốn
,从事,cóngshì,tham gia vào
,发挥,fāhuī,chơi
,人才,réncái,Tài năng
,反而,fǎnér,thay vì
,行政,xíngzhèng,hành chính
,银行,yínháng,ngân hàng
,公共,gōnggòng,công cộng
,媒体,méitǐ,phương tiện truyền thông
,提高,tígāo,cải thiện 
,代,dài,thế hệ
,自然,zìrán,thiên nhiên
,社区,shèqū,Cộng đồng
,力量,lìliàng,sức mạnh
,啊,ā,Ah
,教育部,jiàoyūbù,Bộ Giáo dục
,愈,yū,chữa lành
,超过,chāoguò,Quá
,维持,wéichí,duy trì
,家长,jiāzhǎng,cha mẹ
,结合,jiéhé,kết hợp
,校长,xiàozhǎng,hiệu trưởng
,通常,tōngcháng,thường xuyên
,缺乏,quēfá,thiếu
,委员,wěiyuán,thành viên
,特色,tèsè,tính năng
,结果,jiéguǒ,kết quả
,有时,yǒushí,Thỉnh thoảng
,教师,jiàoshī,giáo viên
,之前,zhīqián,Trước
,远,yuǎn,Xa
,控制,kòngzhì,điều khiển
,本,běn,Sách
,否则,fǒuzé,nếu không thì
,法,fǎ,Pháp luật
,少,shǎo,một vài
,原则,yuánzé,về nguyên tắc
,要,yào,muốn
,脸,liǎn,Khuôn mặt
,通过,tōngguò,vượt qua
,建议,jiànyì,gợi ý
,工具,gōngjù,dụng cụ
,作业,zuòyè,Hoạt động
,达,dá,với tới
,节目,jiémù,chương trình
,智慧,zhìhuì,khôn ngoan
,来自,láizì,từ
,而,ér,Và
,变化,biànhuà,Đa dạng
,同样,tóngyàng,như nhau
,形式,xíngshì,hình thức
,站,zhàn,đứng
,以为,yǐwéi,Nghĩ
,健康,jiànkāng,khỏe mạnh
,担任,dānrèn,đổi lấy
,人口,rénkǒu,dân số
,规划,guīhuà,lập kế hoạch
,刚,gāng,Chỉ
,特殊,tèshū,đặc biệt
,原来,yuánlái,hóa ra là
,道,dào,đường
,分,fēn,điểm
,传统,chuántǒng,Truyền thống
,总是,zǒngshì,luôn luôn
,前往,qiánwǎng,Đi đến
,投资,tóuzī,đầu tư
,加强,jiāqiáng,tăng cường
,不断,búduàn,liên tục
,对象,duìxiàng,sự vật
,追求,zhuīqiú,Theo đuổi
,加上,jiāshàng,thêm
,比,bǐ,So sánh
,思考,sīkǎo,nghĩ
,制作,zhìzuò,làm
,台北市,táiběishì,thành phố Đài Bắc
,取得,qǔdé,đạt được
,出来,chūlái,đi ra ngoài
,加入,jiārù,tham gia vào
,台,tái,tòa tháp
,安排,ānpái,sắp xếp
,儿童,értóng,đứa trẻ
,国中,guózhōng,sơ trung
,范围,fànwéi,phạm vi
,老人,lǎorén,đàn anh
,双方,shuāngfāng,cả hai mặt
,牠,tā,Nó
,北京,běijīng,Bắc Kinh
,年轻,niánqīng,trẻ
,结束,jiéshù,Hoàn thành
,教,jiāo,dạy bảo
,程式,chéngshì,chương trình
,妇女,fùnǔ,phụ nữ
,找到,zhǎodào,xuất hiện
,彼此,bǐcǐ,nhau 
,全球,quánqiú,trên toàn thế giới
,成本,chéngběn,trị giá
,回到,huídào,trở lại
,部,bù,phòng
,而已,éryǐ,Đó là tất cả
,之下,zhīxià,dưới
,等,děng,Chờ đợi
,变,biàn,Thay đổi
,期间,qíjiān,Giai đoạn
,非,fēi,KHÔNG
,小姐,xiǎojiě,Cô
,整体,zhěngtǐ,tổng thể
,采用,cǎiyòng,sử dụng
,根本,gēnběn,cơ bản
,叫,jiào,Gọi
,欧洲,ōuzhōu,Châu Âu
,正在,zhèngzài,là
,加以,jiāyǐ,thêm vào
,充满,chōngmǎn,đầy
,系列,xìliè,loạt
,随着,suízhe,cùng với
,早,zǎo,buổi sáng
,等等,děngděng,vân vân.
,颇,pǒ,khá
,不足,bùzú,không đủ
,总,zǒng,tổng cộng
,分析,fēnxī,phân tích
,深,shēn,sâu
,报告,bàogào,Báo cáo
,不错,búcuò,Tốt
,在于,zàiyū,nằm trong
,旁,páng,bên cạnh
,笑,xiào,cười
,故,gù,Vì thế
,消费者,xiāofèizhě,người tiêu dùng
,意识,yìshì,ý thức
,公尺,gōngchǐ,mét
,民族,mínzú,quốc tịch
,为主,wéizhǔ,chủ yếu
,大众,dàzhòng,công cộng
,到底,dàodǐ,đến cuối cùng
,愿,yuàn,sẵn sàng
,度,dù,Tiêu
,大概,dàgài,có lẽ
,对方,duìfāng,phía bên kia
,官员,guānyuán,chính thức
,发表,fābiǎo,công bố
,进一步,jìnyībù,hơn nữa
,自由,zìyóu,miễn phí
,正确,zhèngquè,Chính xác
,丰富,fēngfù,Giàu có
,国民党,guómíndǎng,Quốc dân đảng
,战争,zhànzhēng,chiến tranh
,怎么样,zěnmeyàng,Như thế nào về nó
,只好,zhǐhǎo,phải
,明显,míngxiǎn,rõ ràng
,改革,gǎigé,cải cách
,表达,biǎodá,Thể hiện
,肯定,kěndìng,khẳng định
,强,qiáng,mạnh mẽ
,高兴,gāoxìng,Vui mừng
,哪,nǎ,Ở đâu
,树,shù,Cây
,适合,shìhé,Thích hợp
,茶,chá,Trà
,别,bié,Đừng
,国外,guówài,nước ngoài
,关心,guānxīn,quan tâm
,苏联,sūlián,Liên Xô
,成绩,chéngjī,điểm
,人物,rénwù,nhân vật
,听到,tīngdào,nghe
,创造,chuàngzào,tạo nên
,不必,búbì,Không cần
,不论,búlùn,liệu
,尚,shàng,Chưa
,居民,jūmín,người dân
,不管,bùguǎn,mặc dù
,美丽,měilì,sắc đẹp
,伊拉克,yīlākè,Irắc
,带来,dàilái,mang đến 
,有,yǒu,có
,般,bān,Tổng quan
,永远,yǒngyuǎn,mãi mãi
,感情,gǎnqíng,cảm xúc
,儿子,érzi,Con trai
,这样子,zhèyàngzi,theo cách này
,起,qǐ,tăng lên
,全部,quánbù,tất cả
